"Make Id","Model Id","Submodel Id","Trim Id","Mileage Id","Model Year","Make Name","Model Name","Submodel Name","Trim Name","Trim Description","Mileage Fuel Tank Capacity","Mileage Combined Mpg","Mileage Epa City Mpg","Mileage Epa Highway Mpg","Mileage Range City","Mileage Range Highway","Mileage Epa Combined Mpg Electric","Mileage Epa City Mpg Electric","Mileage Epa Highway Mpg Electric","Mileage Range Electric","Mileage Epa Kwh 100 Mi Electric","Mileage Epa Time To Charge Hr 240v Electric","Mileage Battery Capacity Electric","Mileage Created","Mileage Modified"
1,6946,72326,6292,6292,2020,Acura,ILX,Base,Base,"4dr Sedan (2.4L 4cyl 8AM)",13.2,28,24,34,317,449,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6946,72326,6295,6295,2020,Acura,ILX,Base,"Premium and A-SPEC Packages","Premium and A-SPEC Packages 4dr Sedan (2.4L 4cyl 8AM)",13.2,28,24,34,317,449,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6946,72326,6293,6293,2020,Acura,ILX,Base,"Premium Package","Premium Package 4dr Sedan (2.4L 4cyl 8AM)",13.2,28,24,34,317,449,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6946,72326,6296,6296,2020,Acura,ILX,Base,"Technology and A-SPEC Packages","Technology and A-SPEC Packages 4dr Sedan (2.4L 4cyl 8AM)",13.2,28,24,34,317,449,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6946,72326,6294,6294,2020,Acura,ILX,Base,"Technology Package","Technology Package 4dr Sedan (2.4L 4cyl 8AM)",13.2,28,24,34,317,449,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6058,72319,6298,6298,2020,Acura,MDX,Base,Base,"4dr SUV w/Technology Package (3.5L 6cyl 9A)",19.5,23,20,27,390,527,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6058,72319,6297,6297,2020,Acura,MDX,Base,Base,"4dr SUV (3.5L 6cyl 9A)",19.5,23,20,27,390,527,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6058,72319,6299,6299,2020,Acura,MDX,Base,Base,"4dr SUV w/Advance Package (3.5L 6cyl 9A)",19.5,23,20,27,390,527,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6058,72320,6304,6304,2020,Acura,MDX,SH-AWD,SH-AWD,"SH-AWD 4dr SUV AWD w/Advance and Entertainment Packages (3.5L 6cyl 9A)",19.5,22,19,26,371,507,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6058,72320,6303,6303,2020,Acura,MDX,SH-AWD,SH-AWD,"SH-AWD 4dr SUV AWD w/Advance Package (3.5L 6cyl 9A)",19.5,22,19,26,371,507,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6058,72320,6302,6302,2020,Acura,MDX,SH-AWD,SH-AWD,"SH-AWD 4dr SUV AWD w/Technology and Entertainment Packages (3.5L 6cyl 9A)",19.5,22,19,26,371,507,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
