"Make Id","Model Id","Model Year","Make Name","Model Name","Model Created","Model Modified"
1,6946,2020,Acura,ILX,"12/27/24, 2:49 PM","12/27/24, 3:20 PM"
1,6058,2020,Acura,MDX,"12/27/24, 2:41 PM","12/27/24, 3:19 PM"
1,5387,2020,Acura,NSX,"12/27/24, 2:36 PM","12/27/24, 3:18 PM"
1,6556,2020,Acura,RDX,"12/27/24, 2:45 PM","12/27/24, 3:20 PM"
1,6998,2020,Acura,RLX,"12/27/24, 2:49 PM","12/27/24, 3:20 PM"
1,7061,2020,Acura,TLX,"12/27/24, 2:50 PM","12/27/24, 3:20 PM"
24,7062,2020,"Alfa Romeo",4C,"12/27/24, 2:50 PM","12/27/24, 3:20 PM"
24,3306,2020,"Alfa Romeo",Giulia,"12/27/24, 2:24 PM","12/27/24, 3:15 PM"
24,7261,2020,"Alfa Romeo",Stelvio,"12/27/24, 2:52 PM","12/27/24, 3:20 PM"
44,7187,2020,"Aston Martin",DB11,"12/27/24, 2:51 PM","12/27/24, 3:20 PM"
44,3770,2020,"Aston Martin",DBS,"12/27/24, 2:26 PM","12/27/24, 3:16 PM"
44,4101,2020,"Aston Martin",Vantage,"12/27/24, 2:28 PM","12/27/24, 3:16 PM"
2,6478,2020,Audi,A3,"12/27/24, 2:44 PM","12/27/24, 3:20 PM"
2,6479,2020,Audi,"A3 Quattro","12/27/24, 2:44 PM","12/27/24, 3:20 PM"
2,5712,2020,Audi,A4,"12/27/24, 2:39 PM","12/27/24, 3:19 PM"
2,7188,2020,Audi,"A4 allroad","12/27/24, 2:51 PM","12/27/24, 3:20 PM"
2,5711,2020,Audi,"A4 Quattro","12/27/24, 2:39 PM","12/27/24, 3:19 PM"
2,6651,2020,Audi,"A5 Quattro","12/27/24, 2:46 PM","12/27/24, 3:20 PM"
2,7262,2020,Audi,"A5 Sportback","12/27/24, 2:52 PM","12/27/24, 3:20 PM"
2,7383,2020,Audi,"A6 allroad","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
2,5643,2020,Audi,"A6 Quattro","12/27/24, 2:38 PM","12/27/24, 3:19 PM"
2,7322,2020,Audi,"A7 Sportback","12/27/24, 2:53 PM","12/27/24, 3:20 PM"
2,5773,2020,Audi,"A8 Quattro","12/27/24, 2:39 PM","12/27/24, 3:19 PM"
2,7389,2020,Audi,"e-tron Sportback","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
2,7063,2020,Audi,Q3,"12/27/24, 2:50 PM","12/27/24, 3:20 PM"
2,6731,2020,Audi,Q5,"12/27/24, 2:46 PM","12/27/24, 3:20 PM"
2,7388,2020,Audi,"Q5 PHEV","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
2,6557,2020,Audi,Q7,"12/27/24, 2:45 PM","12/27/24, 3:20 PM"
2,7323,2020,Audi,Q8,"12/27/24, 2:53 PM","12/27/24, 3:20 PM"
2,6653,2020,Audi,R8,"12/27/24, 2:46 PM","12/27/24, 3:20 PM"
2,7384,2020,Audi,"RS Q8","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
2,7189,2020,Audi,RS3,"12/27/24, 2:51 PM","12/27/24, 3:20 PM"
2,7064,2020,Audi,S3,"12/27/24, 2:50 PM","12/27/24, 3:20 PM"
2,5448,2020,Audi,S4,"12/27/24, 2:37 PM","12/27/24, 3:18 PM"
2,6652,2020,Audi,S5,"12/27/24, 2:46 PM","12/27/24, 3:20 PM"
2,7263,2020,Audi,"S5 Sportback","12/27/24, 2:52 PM","12/27/24, 3:20 PM"
